popular;científico;altura;local;rede eletrica;origem
Algodão da praia;Hibiscus pernanbucensis Arruda;6;Calçada;Sim;Nativa
Amendoim falso;Acosmium subelegans (Mohl.) Yakol.;7;Calçada;Sim;Nativa
Araça;Psidium cattleianum Sabine;6;Cal. Larga;Sim;Nativa
Calistemon;Callistemon viminalis;6;Cal. Larga;Sim;Exótica
Cambuí;Myrcia selloi (Spreng.) N. Silveira;6;Calçada;Sim;Nativa
Cambuci;Campomanesia phaea (O. Berg) Landrum;5;Calçada;Sim;Nativa
Carobinha;Jacaranda puberula Cham;7;Calçada;Sim;Nativa
Caputuna preta;Metrodorea nigra;8;Cal. Larga;Sim;Nativa
Diadema;Stifftia crysantha Mikan;5;Cal. Larga;Sim;Nativa
Flamboyant de jardim;Caesalpinia pulcherrima (L.) Sw;4;Calçada;Sim;Exótica
Fruta de faraó do cerrado;Allophylus sericeus Radlk;6;Cal. Larga;Sim;Nativa
Goiaba serrana;Acca sellowiana (O. berg) Burret;4;Calçada;Sim;Nativa
Guaçatonga;Caesaria sylvestris Sw.;6;Calçada;Sim;Nativa
Grevilha de jardim;Grevilia banksii R. Br;6;Calçada;Sim;Exótica
Ipê de jardim;Tecoma stans (L.) Juss. Ex Kunth;7;Calçada;Sim;Exótica
Leiteiro;Peschiera fuchsiaefolia Miers.;6;Calçada;Sim;Nativa
Pau terra do campo;Qualea multiflora Mart.;6;Calçada;Sim;Nativa
